,ארצי,תל־אביב,המרכז,חיפה,הצפון,הדרום,ירושלים,אשכול גליל מזרחי
2016,100.0,116.5,113.9,98.9,82.0,87.7,85.2,79.0
2017,100.0,116.7,113.9,98.6,82.3,88.4,84.9,79.5
2018,100.0,118.5,113.6,98.4,82.2,88.4,83.9,79.4
2019,100.0,118.3,113.8,98.6,82.0,88.7,84.3,79.8
2020,100.0,118.9,114.5,98.8,81.3,89.0,82.0,79.7
2021,100.0,122.0,114.9,97.9,80.7,87.6,81.0,79.1
2022,100.0,124.2,115.6,97.2,79.7,86.9,80.2,78.0
2023,100.0,123.7,115.3,97.4,80.2,87.4,80.5,78.3
2024,100.0,124.1,115.3,97.0,80.4,87.5,79.8,79.9
